"source_file","referenced","tried_paths","exists"
"C:\projtos pessoais\Static-page\docs\union-portfolio\index.html","assets/images/logo-union_512x512.png","C:\projtos pessoais\Static-page\docs\union-portfolio\assets\images\logo-union_512x512.png","True"
"C:\projtos pessoais\Static-page\docs\union-portfolio\index.html","assets/images/logo-union_512x512.png","C:\projtos pessoais\Static-page\docs\union-portfolio\assets\images\logo-union_512x512.png","True"
"C:\projtos pessoais\Static-page\docs\union-portfolio\index.html","assets/images/logo-union_512x512.png","C:\projtos pessoais\Static-page\docs\union-portfolio\assets\images\logo-union_512x512.png","True"
"C:\projtos pessoais\Static-page\docs\union-portfolio\index.html","assets/projects/clube-preview.jpg","C:\projtos pessoais\Static-page\docs\union-portfolio\assets\projects\clube-preview.jpg;C:\projtos pessoais\Static-page\docs\union-portfolio\assets\images\projects\clube-preview.jpg","True"
"C:\projtos pessoais\Static-page\docs\union-portfolio\index.html","assets/projects/coromandel-preview.jpg","C:\projtos pessoais\Static-page\docs\union-portfolio\assets\projects\coromandel-preview.jpg;C:\projtos pessoais\Static-page\docs\union-portfolio\assets\images\projects\coromandel-preview.jpg","True"
"C:\projtos pessoais\Static-page\docs\union-portfolio\index.html","assets/projects/economize-preview.jpg","C:\projtos pessoais\Static-page\docs\union-portfolio\assets\projects\economize-preview.jpg;C:\projtos pessoais\Static-page\docs\union-portfolio\assets\images\projects\economize-preview.jpg","True"
"C:\projtos pessoais\Static-page\docs\union-portfolio\index.html","assets/projects/empreendedora-preview.jpg","C:\projtos pessoais\Static-page\docs\union-portfolio\assets\projects\empreendedora-preview.jpg;C:\projtos pessoais\Static-page\docs\union-portfolio\assets\images\projects\empreendedora-preview.jpg","True"
"C:\projtos pessoais\Static-page\docs\union-portfolio\index.html","assets/projects/jobs-preview.jpg","C:\projtos pessoais\Static-page\docs\union-portfolio\assets\projects\jobs-preview.jpg;C:\projtos pessoais\Static-page\docs\union-portfolio\assets\images\projects\jobs-preview.jpg","True"
"C:\projtos pessoais\Static-page\docs\union-portfolio\index.html","assets/projects/netdrinks-preview.jpg","C:\projtos pessoais\Static-page\docs\union-portfolio\assets\projects\netdrinks-preview.jpg;C:\projtos pessoais\Static-page\docs\union-portfolio\assets\images\projects\netdrinks-preview.jpg","True"
